snum,trial,tname,tvalue,tsuit,tpos,cname,cvalue,csuit,cpos,cf,right,rt,trans,control,visd,visc,memd,memc,lik,free,influence,nlonger,nlongest,card1,card2,card3,card4,card5,card6,card7,card8,card9,card10,card11,card12,card13,card14,card15,card16,card17,card18,card19,card20,card21,card22,card23,card24,card25,card26,card27,card28,card29,card30,card31,card32,card33,card34,card35,card36,card37,card38,card39,card40,card41,card42,card43,card44,card45,card46,card1f,card2f,card3f,card4f,card5f,card6f,card7f,card8f,card9f,card10f,card11f,card12f,card13f,card14f,card15f,card16f,card17f,card18f,card19f,card20f,card21f,card22f,card23f,card24f,card25f,card26f,card27f,card28f,card29f,card30f,card31f,card32f,card33f,card34f,card35f,card36f,card37f,card38f,card39f,card40f,card41f,card42f,card43f,card44f,card45f,card46f
14,14,8H,8,2,20,3C,3,3,33,6,0,4805,7,77,1.218,0.114,0.846,0.294,0.552,1,0,1,1,3,33,27,2,5,32,7,34,45,36,37,40,18,49,44,47,12,15,8,22,6,13,29,4,51,39,14,25,23,20,1,42,28,30,17,35,10,26,41,38,16,24,0,9,50,21,1,1,1,1,1,1,1,1,1,1,7,7,7,5,3,6,5,4,2,4,5,2,3,2,4,2,6,3,6,13,5,3,6,2,4,7,1,1,1,1,1,1,1,1,1,1
14,15,5D,5,4,19,2C,2,3,22,5,0,3911,7,77,1.052,0.203,0.73,0.316,0.368,1,0,1,1,47,2,13,18,33,7,8,49,25,6,48,51,20,0,22,28,3,31,30,32,40,27,21,34,42,19,39,9,43,4,37,12,29,36,16,1,5,26,11,35,46,50,41,44,38,45,1,1,1,1,1,1,1,1,1,1,5,2,6,3,4,4,6,3,6,7,7,5,3,2,2,4,5,7,13,6,4,5,2,2,3,7,1,1,1,1,1,1,1,1,1,1
14,16,4H,4,2,7,4D,4,4,NA,NA,1,4099,7,77,1.058,0.327,0.43,0.404,0.472,1,0,1,1,3,5,0,27,49,10,11,48,51,33,36,22,12,43,34,21,16,24,26,38,14,39,35,23,8,2,30,28,40,1,4,20,50,47,6,7,25,32,9,44,45,31,17,29,15,18,1,1,1,1,1,1,1,1,1,1,4,7,2,6,3,5,13,6,7,2,5,4,3,3,3,5,7,2,5,4,6,2,6,4,2,7,1,1,1,1,1,1,1,1,1,1
14,17,7S,7,1,9,7C,7,3,NA,NA,1,8083,7,77,1.146,0.242,0.602,0.542,0.51,1,0,1,1,26,18,46,33,4,44,19,7,34,36,48,40,3,49,17,16,23,2,6,11,50,14,10,47,27,31,13,20,25,0,22,8,1,24,38,5,41,21,37,28,51,9,39,45,35,12,1,1,1,1,1,1,1,1,1,1,6,3,4,5,3,2,2,7,13,2,6,6,2,4,3,6,7,2,7,5,4,7,4,5,3,5,1,1,1,1,1,1,1,1,1,1
14,18,9H,9,2,21,3C,3,3,44,1,0,6638,7,77,1.417,0.05,0.34,0.4,0.521,1,0,1,1,15,42,39,11,3,26,34,1,29,19,8,40,20,36,13,14,31,37,41,0,12,48,25,38,7,33,24,44,49,43,21,30,45,4,18,50,16,35,17,23,2,27,5,28,6,10,1,1,1,1,1,1,1,1,1,1,3,5,2,7,3,3,5,4,7,2,2,4,6,6,3,6,7,2,5,4,13,6,2,7,5,4,1,1,1,1,1,1,1,1,1,1
14,19,2D,2,4,7,6H,6,2,26,7,0,5451,7,77,1.309,0.23,0.584,0.064,0.406,1,0,1,1,27,29,41,39,11,38,33,21,9,32,6,20,45,0,48,10,40,23,19,24,4,7,12,15,2,18,50,36,16,26,47,35,42,3,17,49,13,5,31,44,34,43,37,51,46,28,1,1,1,1,1,1,1,1,1,1,3,5,4,2,7,6,13,2,7,2,6,3,6,3,3,7,2,7,6,4,5,5,5,2,4,4,1,1,1,1,1,1,1,1,1,1
14,20,KS,13,1,5,4S,4,1,46,1,0,5217,7,77,1.072,0.193,0.611,0.148,0.583,1,0,1,1,14,25,5,46,13,40,43,21,8,51,36,24,1,44,12,19,31,41,10,16,35,29,18,0,2,15,48,26,33,11,17,39,47,49,22,28,45,30,9,27,34,32,4,7,37,3,1,1,1,1,1,1,1,1,1,1,2,5,4,3,13,2,5,3,4,2,7,6,4,6,6,5,2,2,4,7,7,3,3,7,6,5,1,1,1,1,1,1,1,1,1,1
14,21,7D,7,4,14,9S,9,1,9,1,0,3380,7,77,1.179,0.234,0.609,0.206,0.392,1,0,1,1,9,33,37,20,28,24,10,11,8,4,39,30,50,0,5,12,38,26,44,42,40,16,25,45,31,13,51,17,14,36,6,29,32,2,49,3,23,21,18,15,47,46,34,7,43,22,1,1,1,1,1,1,1,1,1,1,3,5,2,4,2,4,7,6,7,2,3,6,5,13,4,5,5,4,7,6,3,2,2,6,3,7,1,1,1,1,1,1,1,1,1,1
14,22,2H,2,2,10,KC,13,3,6,1,0,5229,7,77,1.292,0.21,0.606,0.152,0.663,1,0,1,1,6,46,17,19,29,38,13,20,33,9,26,23,36,25,30,8,5,21,42,14,32,22,35,7,16,47,15,49,27,39,0,3,44,31,51,10,48,41,37,34,45,4,50,28,18,43,1,1,1,1,1,1,1,1,1,1,2,2,3,7,5,3,6,4,4,13,2,2,7,5,5,7,3,5,3,6,6,4,6,7,4,2,1,1,1,1,1,1,1,1,1,1
14,23,8C,8,3,17,8C,8,3,27,13,1,3250,7,77,1.197,0.018,0.651,0.488,0.396,1,0,1,1,39,14,38,19,26,43,1,35,46,32,13,20,24,28,49,25,16,11,5,45,37,41,18,27,22,17,33,51,23,9,31,12,10,3,2,8,36,21,44,0,47,42,6,15,30,50,1,1,1,1,1,1,1,1,1,1,2,3,2,5,3,4,6,4,5,7,6,2,5,4,7,3,13,2,7,6,2,7,4,5,3,6,1,1,1,1,1,1,1,1,1,1
